frame_id,class_id,instance_id,x0,y0,score0,x1,y1,score1,x2,y2,score2,x3,y3,score3,x4,y4,score4,x5,y5,score5,x6,y6,score6,x7,y7,score7,x8,y8,score8,x9,y9,score9,x10,y10,score10,x11,y11,score11,x12,y12,score12,x13,y13,score13,x14,y14,score14,x15,y15,score15,x16,y16,score16
0,22,1,1464.0,279.75,0.96777344,1419.75,271.875,0.9897461,1437.75,311.625,0.9926758,1444.5,219.375,0.9013672,1394.25,450.0,0.19824219,1548.0,272.25,0.86816406,1569.0,445.5,0.9526367,1576.5,591.0,0.94140625,1324.5,267.375,0.98779297,1305.0,456.0,0.99609375,1303.5,673.5,0.9868164,1476.0,474.0,0.12915039,1464.75,542.25,0.28515625,1421.25,630.75,0.40600586,1307.25,463.5,0.43823242,1288.5,525.0,0.6010742,1277.25,622.5,0.6489258
0,22,2,878.25,453.0,0.953125,841.5,457.5,0.9838867,860.25,480.0,0.98046875,838.5,416.25,0.7314453,732.75,480.75,0.3474121,918.75,441.75,0.24658203,922.5,542.25,0.13964844,899.25,596.25,0.105773926,730.125,432.75,0.87841797,702.0,547.5,0.71240234,801.75,582.0,0.52685547,803.25,523.5,0.047790527,837.0,549.75,0.04458618,812.25,591.75,0.030563354,697.875,525.0,0.23400879,721.5,558.0,0.18786621,756.0,605.25,0.10284424
0,22,3,492.375,513.75,0.9663086,453.0,513.75,0.9716797,474.75,544.5,0.98291016,468.75,444.0,0.6484375,533.625,478.5,0.08251953,561.0,478.5,0.32006836,571.5,580.5,0.24865723,522.75,631.5,0.20629883,387.375,474.0,0.4501953,378.1875,573.0,0.36499023,421.5,584.25,0.3635254,580.5,510.75,0.025863647,589.875,562.5,0.0209198,588.375,597.75,0.017715454,466.5,519.0,0.01737976,473.25,580.5,0.016784668,520.5,605.25,0.020095825
0,22,4,1068.0,518.25,0.94628906,1032.75,507.75,0.9472656,1050.0,534.75,0.97509766,1059.0,431.25,0.7192383,1089.75,505.5,0.13024902,1124.25,478.5,0.6645508,1097.25,582.75,0.6743164,972.75,607.5,0.66845703,972.75,434.25,0.32983398,930.0,529.5,0.25878906,924.0,591.0,0.40844727,1128.75,544.5,0.059417725,1113.0,564.75,0.066467285,1084.5,606.0,0.0758667,1024.5,508.5,0.023239136,1000.5,532.5,0.022323608,1008.75,567.75,0.04385376
0,22,5,232.3125,314.625,0.9667969,200.4375,312.375,0.97021484,214.6875,345.375,0.9848633,205.5,270.0,0.7265625,296.25,412.5,0.05331421,296.8125,313.5,0.7548828,329.8125,432.75,0.64697266,278.25,495.0,0.4008789,129.65625,301.125,0.6923828,116.8125,406.5,0.5209961,153.5625,413.25,0.41992188,329.625,441.75,0.037200928,354.0,435.75,0.032226562,356.8125,474.0,0.019714355,217.5,444.75,0.0151901245,211.875,450.0,0.014839172,261.75,475.5,0.015014648
1,22,1,1463.25,279.0,0.96484375,1420.5,271.875,0.98828125,1437.75,312.0,0.9916992,1444.5,219.0,0.8833008,1400.25,450.75,0.19458008,1545.0,267.75,0.84228516,1570.5,437.25,0.93652344,1576.5,584.25,0.92285156,1323.75,265.875,0.984375,1299.75,451.5,0.9946289,1299.0,670.5,0.9819336,1477.5,473.25,0.12609863,1466.25,543.0,0.26733398,1425.0,631.5,0.37158203,1316.25,465.0,0.40356445,1293.0,528.0,0.55615234,1283.25,624.75,0.60009766
1,22,2,879.75,453.0,0.96191406,840.0,456.0,0.98046875,858.0,481.5,0.9794922,845.25,423.75,0.5966797,744.75,492.75,0.19091797,951.75,430.5,0.21801758,985.5,533.25,0.0960083,989.25,581.25,0.074523926,731.25,439.5,0.8613281,702.0,565.5,0.6347656,862.5,583.5,0.41235352,817.5,530.25,0.026260376,873.75,550.5,0.0259552,843.75,596.25,0.015777588,703.5,544.5,0.14782715,731.25,567.75,0.1295166,775.5,617.25,0.054504395
1,22,3,492.0,514.5,0.9707031,451.125,514.5,0.9711914,474.0,545.25,0.98339844,465.375,446.25,0.6401367,532.125,474.0,0.093688965,564.375,478.5,0.33496094,578.625,581.25,0.23669434,527.625,629.25,0.18823242,380.8125,475.5,0.3779297,376.125,578.25,0.26513672,426.0,591.0,0.26635742,579.0,509.25,0.032226562,589.125,563.25,0.024887085,587.625,602.25,0.01890564,464.25,517.5,0.017440796,474.0,580.5,0.016281128,522.0,608.25,0.018127441
1,22,4,1071.75,515.25,0.9511719,1032.0,510.0,0.9560547,1053.0,540.0,0.9711914,1057.5,441.75,0.57373047,1104.75,477.75,0.105407715,1147.5,464.25,0.31103516,1170.75,564.75,0.234375,1137.0,627.0,0.24584961,962.25,461.25,0.3630371,937.5,573.0,0.25634766,975.75,642.0,0.29760742,1152.0,526.5,0.033477783,1155.75,570.0,0.030731201,1151.25,614.25,0.03149414,1033.5,525.75,0.023513794,1031.25,573.0,0.02079773,1062.75,608.25,0.028549194
1,22,5,234.1875,313.875,0.9682617,201.5625,311.625,0.9716797,216.1875,344.625,0.98535156,202.5,276.0,0.7104492,296.8125,415.5,0.04788208,297.375,313.125,0.75439453,330.75,434.25,0.64501953,281.625,501.0,0.38378906,126.9375,301.125,0.6645508,116.8125,409.5,0.46655273,157.59375,420.75,0.36083984,330.75,445.5,0.03540039,356.4375,440.25,0.030441284,359.25,478.5,0.01777649,218.0625,448.5,0.013122559,216.0,456.0,0.012672424,268.6875,480.75,0.012428284
