frame_id,class_id,instance_id,x0,y0,score0,x1,y1,score1,x2,y2,score2,x3,y3,score3,x4,y4,score4,x5,y5,score5,x6,y6,score6,x7,y7,score7,x8,y8,score8,x9,y9,score9,x10,y10,score10,x11,y11,score11,x12,y12,score12,x13,y13,score13,x14,y14,score14,x15,y15,score15,x16,y16,score16
0,22,1,1318.5,581.25,0.92822266,1300.5,579.0,0.9355469,1309.5,611.25,0.9707031,1337.25,562.5,0.9321289,1296.0,847.5,0.6230469,1422.75,558.75,0.9770508,1485.75,697.5,0.97265625,1393.5,787.5,0.93652344,1221.0,559.5,0.97998047,1164.0,700.5,0.9819336,1239.0,813.0,0.94384766,1407.75,833.25,0.4699707,1471.5,798.75,0.58251953,1439.25,855.0,0.5126953,1218.75,837.75,0.5654297,1116.0,799.5,0.6333008,1116.75,855.0,0.5078125
0,22,2,881.25,671.25,0.15124512,882.0,669.75,0.07904053,874.5,687.75,0.1472168,940.5,621.0,0.6386719,914.25,823.5,0.2980957,984.0,628.5,0.63378906,933.0,763.5,0.53515625,770.25,816.75,0.3635254,903.75,624.0,0.3347168,903.75,756.75,0.26123047,858.75,833.25,0.171875,980.25,834.0,0.16638184,888.75,830.25,0.19128418,801.75,864.75,0.14770508,860.25,804.0,0.20178223,754.125,789.0,0.17614746,693.75,830.25,0.12878418
1,22,1,1313.25,584.25,0.9560547,1293.75,579.75,0.96435547,1303.5,612.0,0.97998047,1335.75,555.0,0.93847656,1308.75,858.0,0.5288086,1421.25,568.5,0.9838867,1482.75,714.0,0.9716797,1344.0,759.0,0.93652344,1222.5,556.5,0.9819336,1155.0,701.25,0.97753906,1247.25,807.0,0.93359375,1415.25,856.5,0.42871094,1477.5,808.5,0.5395508,1440.75,862.5,0.4140625,1231.5,855.75,0.44018555,1125.0,802.5,0.5136719,1140.0,855.0,0.3791504
1,22,2,852.0,696.75,0.74902344,842.25,699.0,0.39111328,852.0,727.5,0.83251953,931.5,631.5,0.78466797,913.5,840.75,0.10797119,974.25,634.5,0.88183594,940.5,774.0,0.8925781,754.875,823.5,0.8334961,884.25,636.75,0.19177246,900.0,761.25,0.22729492,855.0,828.0,0.28759766,979.5,828.0,0.11694336,920.25,835.5,0.16918945,852.75,879.75,0.18273926,858.0,804.0,0.036834717,775.5,794.25,0.048675537,736.5,836.25,0.07904053
2,22,1,1308.0,582.75,0.96533203,1292.25,577.5,0.94384766,1298.25,610.5,0.98046875,1332.0,555.75,0.8574219,1299.0,844.5,0.47558594,1418.25,568.5,0.9892578,1492.5,716.25,0.9921875,1316.25,711.0,0.984375,1224.75,550.5,0.9550781,1156.5,693.75,0.9658203,1248.0,771.0,0.94433594,1385.25,848.25,0.64453125,1446.0,810.0,0.86328125,1407.75,864.0,0.77441406,1240.5,838.5,0.44848633,1125.75,797.25,0.6928711,1153.5,843.75,0.6459961
2,22,2,859.5,709.5,0.5439453,847.5,709.5,0.20422363,848.25,730.5,0.66308594,891.75,630.75,0.6435547,919.5,791.25,0.0692749,981.0,636.0,0.88671875,939.75,771.75,0.92822266,713.25,813.75,0.90478516,843.0,618.75,0.10412598,834.75,736.5,0.1616211,801.75,800.25,0.26660156,1002.75,769.5,0.10357666,941.25,760.5,0.19714355,854.25,825.75,0.2614746,859.5,738.0,0.015365601,744.75,718.5,0.029037476,720.375,783.0,0.0680542
3,22,1,1313.25,580.5,0.8808594,1296.0,575.25,0.88378906,1303.5,609.0,0.94921875,1332.0,549.0,0.9135742,1296.0,855.0,0.6123047,1416.75,559.5,0.97998047,1496.25,687.0,0.9716797,1338.75,733.5,0.9555664,1230.75,556.5,0.9609375,1159.5,681.0,0.9628906,1227.75,771.75,0.9355469,1401.0,852.75,0.5,1480.5,787.5,0.64160156,1448.25,850.5,0.58935547,1239.0,851.25,0.47143555,1129.5,782.25,0.57714844,1143.0,845.25,0.51171875
3,22,2,1133.25,548.25,0.013687134,1142.25,553.5,0.050231934,1136.25,571.5,0.02696228,1053.0,516.0,0.65771484,625.5,725.25,0.9550781,1041.75,549.0,0.087890625,977.25,714.75,0.10229492,965.25,820.5,0.10858154,1029.0,529.5,0.8339844,973.5,681.75,0.79052734,960.75,815.25,0.5805664,689.25,762.0,0.1796875,784.5,770.25,0.18579102,736.5,832.5,0.20910645,714.375,741.0,0.94189453,861.0,725.25,0.9160156,849.0,831.0,0.75390625
4,22,1,1310.25,583.5,0.8808594,1293.0,577.5,0.8964844,1301.25,612.0,0.94970703,1335.75,546.75,0.9316406,1296.0,850.5,0.6328125,1414.5,561.0,0.9848633,1486.5,696.0,0.97802734,1316.25,708.0,0.9663086,1237.5,549.75,0.9716797,1165.5,681.0,0.97558594,1227.75,779.25,0.9506836,1402.5,852.0,0.5449219,1471.5,795.0,0.6948242,1439.25,856.5,0.6352539,1236.75,842.25,0.53271484,1122.0,778.5,0.6381836,1123.5,842.25,0.56884766
5,22,1,1311.0,573.75,0.8774414,1296.75,569.25,0.87939453,1305.75,605.25,0.9477539,1344.75,549.0,0.9169922,1299.0,847.5,0.60839844,1428.75,556.5,0.97802734,1497.0,686.25,0.9692383,1344.0,731.25,0.95458984,1234.5,555.0,0.97021484,1159.5,684.75,0.9765625,1239.75,795.0,0.95214844,1407.0,841.5,0.48779297,1482.0,794.25,0.64160156,1443.0,860.25,0.59521484,1236.0,839.25,0.5361328,1131.75,782.25,0.6533203,1143.0,850.5,0.57714844
