frame_id,class_id,instance_id,x0,y0,score0,x1,y1,score1,x2,y2,score2,x3,y3,score3,x4,y4,score4,x5,y5,score5,x6,y6,score6,x7,y7,score7,x8,y8,score8,x9,y9,score9,x10,y10,score10,x11,y11,score11,x12,y12,score12,x13,y13,score13,x14,y14,score14,x15,y15,score15,x16,y16,score16
0,9,1,937.5,828.0,0.86621094,952.5,825.75,0.9301758,946.5,814.5,0.9428711,946.5,750.75,0.9921875,921.0,460.5,0.9975586,854.25,770.25,0.9980469,818.25,806.25,0.9980469,820.5,906.0,0.9926758,1037.25,706.5,0.9995117,1109.25,663.0,0.9995117,1148.25,696.0,0.9975586,879.75,448.5,0.9838867,838.5,373.5,0.97216797,815.25,241.125,0.9511719,951.0,428.25,0.9941406,974.25,353.25,0.98779297,953.25,217.5,0.9736328
1,9,1,852.0,533.25,0.044921875,888.0,536.25,0.0043640137,862.5,525.0,0.049224854,942.0,516.75,0.9067383,951.75,652.5,0.9008789,902.25,491.25,0.9814453,805.5,386.25,0.9785156,757.5,158.25,0.9458008,1003.5,532.5,0.79345703,1028.25,499.5,0.7705078,1041.0,374.25,0.8051758,902.25,623.25,0.9663086,772.5,541.5,0.9526367,723.0,565.5,0.86865234,923.25,662.25,0.5595703,859.5,591.0,0.5078125,792.75,588.0,0.49853516
2,9,1,968.25,729.75,0.053497314,993.75,727.5,0.04385376,961.5,724.5,0.06707764,993.75,621.75,0.9707031,910.5,452.25,0.9946289,893.25,629.25,0.9902344,843.75,642.0,0.9868164,867.75,678.0,0.95996094,1032.0,549.75,0.99902344,1103.25,409.5,0.99902344,1143.0,307.5,0.9941406,862.5,429.75,0.97998047,760.875,380.25,0.96533203,693.75,280.5,0.93066406,927.75,422.25,0.9897461,920.25,367.5,0.9770508,872.25,269.625,0.95166016
3,9,1,1103.25,612.75,0.032043457,1124.25,607.5,0.04272461,1104.75,618.75,0.038024902,1059.75,599.25,0.9892578,898.5,470.25,0.99121094,986.25,661.5,0.99902344,943.5,718.5,0.9995117,1019.25,785.25,0.9970703,1078.5,521.25,0.9995117,1099.5,362.25,0.9995117,1174.5,269.25,0.9946289,846.75,492.75,0.9824219,780.75,490.5,0.9794922,663.0,436.5,0.9614258,889.5,454.5,0.97216797,856.5,449.25,0.9604492,759.75,399.0,0.92626953
4,9,1,1090.5,664.5,0.007205963,1116.0,656.25,0.0056877136,1092.0,653.25,0.007904053,1091.25,636.0,0.88427734,938.25,532.5,0.98046875,1044.75,714.0,0.9902344,998.25,785.25,0.9980469,1033.5,852.0,0.99121094,1116.75,564.0,0.9921875,1112.25,410.25,0.99560547,1156.5,291.75,0.98583984,878.25,568.5,0.9663086,813.75,574.5,0.97802734,674.25,531.75,0.96191406,913.5,522.75,0.94189453,889.5,522.75,0.9506836,804.0,482.25,0.93115234
5,9,1,1228.5,631.5,0.12463379,1229.25,627.0,0.36157227,1230.0,663.0,0.27026367,1173.0,615.75,0.9916992,955.5,530.25,0.99560547,1100.25,702.0,0.9980469,1056.0,777.0,0.9995117,1050.0,859.5,0.99658203,1177.5,549.0,0.99902344,1176.0,384.75,0.99853516,1176.75,330.75,0.98828125,892.5,573.0,0.99121094,813.75,610.5,0.99316406,684.375,618.0,0.9863281,917.25,523.5,0.99365234,826.5,542.25,0.9902344,715.875,549.75,0.9770508
6,9,1,1273.5,609.75,0.34033203,1273.5,603.0,0.76660156,1277.25,641.25,0.6870117,1203.0,595.5,0.9946289,952.5,533.25,0.99658203,1140.75,687.75,0.99609375,1100.25,802.5,0.9995117,1128.0,879.0,0.99658203,1188.0,525.0,0.99853516,1189.5,410.25,0.99902344,1200.0,311.25,0.99658203,899.25,603.0,0.9926758,807.75,652.5,0.9970703,646.5,678.0,0.9941406,898.5,546.0,0.99609375,825.75,577.5,0.9970703,682.5,612.0,0.99365234
7,9,1,1272.75,564.75,0.38891602,1267.5,559.5,0.7675781,1276.5,596.25,0.7216797,1182.0,538.5,0.9970703,915.75,540.0,0.99853516,1143.0,643.5,0.9970703,1128.0,760.5,0.9995117,1176.0,802.5,0.99658203,1168.5,489.0,0.9980469,1176.0,392.25,0.99853516,1191.0,244.5,0.9941406,874.5,612.75,0.99609375,791.25,669.0,0.9980469,640.125,712.5,0.99609375,872.25,549.75,0.9980469,798.0,586.5,0.9980469,649.5,644.25,0.99365234
8,9,1,1257.0,528.75,0.38500977,1248.0,522.75,0.77783203,1259.25,558.0,0.7446289,1167.0,509.25,0.99560547,883.5,506.25,0.9975586,1127.25,610.5,0.9916992,1106.25,718.5,0.9980469,1150.5,719.25,0.9951172,1146.75,461.25,0.9980469,1133.25,396.75,0.99902344,1182.75,248.25,0.9970703,852.0,597.75,0.9926758,807.0,694.5,0.9970703,670.5,780.75,0.99560547,843.0,528.0,0.99853516,790.5,599.25,0.99902344,641.25,711.0,0.99658203
9,9,1,1232.25,528.0,0.4489746,1221.0,519.75,0.8383789,1233.0,554.25,0.79345703,1152.0,511.5,0.9921875,867.0,493.5,0.99609375,1120.5,601.5,0.97998047,1085.25,699.0,0.9951172,1086.75,695.25,0.9916992,1119.0,453.75,0.9975586,1094.25,399.0,0.99902344,1164.0,279.0,0.9975586,858.0,600.75,0.98339844,837.75,712.5,0.9946289,719.625,811.5,0.99316406,826.5,525.75,0.99853516,790.5,609.0,0.99902344,673.875,738.0,0.99658203
